12,87,142023
12,86,142206
12,87,142013
12,89,141861
12,89,141951
12,87,142182
12,85,142683
12,87,142580
12,84,142495
12,89,142316
12,86,142294
12,90,142329
12,86,142479
12,90,142514
12,92,141379
12,92,141913
12,96,141886
12,88,142182
12,90,141941
12,89,142341
12,85,141906
12,89,142403
12,90,142154
12,92,142164
12,90,142233
12,88,141979
12,92,142032
12,88,142540
12,91,142334
12,86,142185
12,86,141627
12,88,141694
12,92,141999
12,87,142243
12,89,142111
12,90,142106
12,92,142668
12,89,141951
12,90,142279
12,90,141947
12,91,142369
12,94,142069
12,93,142658
12,88,142396
12,92,142295
12,87,141877
12,87,141897
12,89,142151
12,88,142898
12,88,141906
12,90,142444
12,86,141672
12,89,142201
12,86,141919
12,91,141923
12,90,142149
12,91,142960
12,87,142378
12,87,142215
12,88,142089
12,88,142340
12,89,142409
12,92,142069
12,88,142520
12,94,142696
12,85,141966
12,91,142425
12,86,142804
12,87,142387
12,86,142262
12,91,142587
12,91,141527
12,91,142332
12,87,141922
12,87,142122
12,90,141840
12,88,142264
12,88,142037
12,92,142164
12,93,142280
12,88,142298
12,89,142712
12,88,142051
12,92,142226
12,90,142272
12,89,142594
12,84,141726
12,91,142307
12,89,141547
12,92,142139
12,94,141680
12,90,141689
12,93,142133
12,93,142025
12,90,142188
12,91,142149
12,93,142506
12,90,142311
12,86,141803
12,85,141914
